s_euclidean_plane | axiom | Euclidean plane ℝ²
s_closure_of_A_is_a_lattice | state | closure of A is a lattice
s_pointwise_matching_family_f_xy | state | pointwise matching family f xy
s_stone_representation_theorem | theorem | Stone Representation Theorem
s_boolean_algebra_B | state | boolean algebra B
s_ultrafilter_spectrum_Spec_B | state | ultrafilter spectrum Spec B
s_compact_totally_disconnected_stone_space | state | compact totally disconnected stone space
s_full_modularity_theorem_BCDT | theorem | Modularity Theorem — full, Breuil–Conrad–Diamond–Taylor 2001
s_ramification_stratification_of_elliptic_curves | state | ramification stratification of elliptic curves
s_non_semistable_modularity_cases_handled | state | non semistable modularity cases handled
s_abc_conjecture_mochizuki_claimed | theorem | abc Conjecture — Mochizuki's disputed proof
s_coprime_triple_a_b_c_with_a_plus_b_equals_c | state | coprime triple a b c with a plus b equals c
s_mochizuki_IUT_framework | state | mochizuki IUT framework
s_anabelian_reconstruction_of_E | state | anabelian reconstruction of E
s_theta_link_between_hodge_theaters | state | theta link between hodge theaters
s_log_volume_inequality | state | log volume inequality
s_compactness_theorem_fol | theorem | Compactness theorem
s_lowenheim_skolem | theorem | Löwenheim–Skolem theorem
s_church_rosser | theorem | Church–Rosser theorem
s_deduction_theorem | theorem | Deduction theorem
s_los_theorem | theorem | Łoś's theorem
s_craig_interpolation | theorem | Craig's interpolation theorem
s_beth_definability | theorem | Beth's definability theorem
s_lindstrom_theorem | theorem | Lindström's theorem
s_morley_categoricity | theorem | Morley's categoricity theorem
s_martin_borel_determinacy | theorem | Martin's Borel determinacy theorem
s_cohen_forcing | theorem | Cohen's forcing theorems
s_mrdp_theorem | theorem | Matiyasevich's theorem (MRDP)
s_paris_harrington | theorem | Paris–Harrington theorem
s_gentzen_consistency | theorem | Gentzen's consistency proof
s_ac_equivalents | theorem | Axiom of choice equivalents
s_schroder_bernstein | theorem | Schröder–Bernstein theorem
s_hartogs_theorem | theorem | Hartogs's theorem
s_konig_cardinal_theorem | theorem | König's theorem (cardinal)
s_reflection_principle | theorem | Reflection principle
s_silver_theorem | theorem | Silver's theorem
s_hall_marriage | theorem | Hall's marriage theorem
s_konig_lemma | theorem | König's lemma
s_konig_bipartite | theorem | Kőnig's theorem (bipartite)
s_dilworth_theorem | theorem | Dilworth's theorem
s_mirsky_theorem | theorem | Mirsky's theorem
s_turan_theorem | theorem | Turán's theorem
s_erdos_ko_rado | theorem | Erdős–Ko–Rado theorem
s_menger_theorem | theorem | Menger's theorem
s_maxflow_mincut | theorem | Max-flow min-cut theorem
s_kuratowski_planarity | theorem | Kuratowski's theorem
s_wagner_planarity | theorem | Wagner's theorem
s_schur_ramsey | theorem | Schur's theorem (Ramsey)
s_van_der_waerden | theorem | Van der Waerden's theorem
s_hales_jewett | theorem | Hales–Jewett theorem
s_hindman_theorem | theorem | Hindman's theorem
s_cayley_formula | theorem | Cayley's formula
s_matrix_tree | theorem | Matrix-tree theorem
s_best_theorem | theorem | BEST theorem
s_burnside_lemma | theorem | Burnside's lemma
s_polya_enumeration | theorem | Pólya enumeration theorem
s_pigeonhole_principle | theorem | Pigeonhole principle
s_fermat_two_square_theorem | theorem | Fermat's two-square theorem
s_lagrange_four_square_theorem | theorem | Lagrange's four-square theorem
s_legendre_three_square_theorem | theorem | Legendre's three-square theorem
s_bertrand_postulate | theorem | Bertrand's postulate
s_dirichlet_primes_in_ap | theorem | Dirichlet's theorem on primes in arithmetic progressions
s_dirichlet_unit_theorem | theorem | Dirichlet's unit theorem
s_minkowski_convex_body_theorem | theorem | Minkowski's theorem on convex bodies
s_hilbert_waring_theorem | theorem | Hilbert–Waring theorem
s_thue_theorem | theorem | Thue's theorem
s_roth_approximation_theorem | theorem | Roth's theorem
s_siegel_integral_points_theorem | theorem | Siegel's theorem on integral points
s_mordell_weil_theorem | theorem | Mordell–Weil theorem
s_hasse_minkowski_theorem | theorem | Hasse–Minkowski theorem
s_hasse_elliptic_bound | theorem | Hasse's theorem on elliptic curves
s_weil_conjectures_deligne | theorem | Weil conjectures (Deligne's theorem)
s_chebotarev_density_theorem | theorem | Chebotarev density theorem
s_class_field_theory_main | theorem | Main theorem of class field theory
s_artin_reciprocity_law | theorem | Artin reciprocity law
s_erdos_ginzburg_ziv_theorem | theorem | Erdős–Ginzburg–Ziv theorem
s_chen_theorem | theorem | Chen's theorem
s_vinogradov_three_primes_theorem | theorem | Vinogradov's theorem
s_eisenstein_criterion | theorem | Eisenstein's criterion
s_gauss_lemma_polynomials | theorem | Gauss's lemma (polynomials)
s_primitive_element_theorem | theorem | Primitive element theorem
s_artin_schreier_theorem | theorem | Artin–Schreier theorem
s_hilbert_theorem_90 | theorem | Hilbert's theorem 90
s_luroth_theorem | theorem | Lüroth's theorem
s_nakayama_lemma | theorem | Nakayama's lemma
s_krull_hauptidealsatz | theorem | Krull's principal ideal theorem (Hauptidealsatz)
s_krull_intersection_theorem | theorem | Krull intersection theorem
s_krull_akizuki_theorem | theorem | Krull–Akizuki theorem
s_cohen_structure_theorem | theorem | Cohen structure theorem
s_hilbert_syzygy_theorem | theorem | Hilbert's syzygy theorem
s_auslander_buchsbaum_formula | theorem | Auslander–Buchsbaum formula
s_going_up_going_down_theorem | theorem | Going-up and going-down theorems
s_bezout_theorem | theorem | Bézout's theorem
s_chow_theorem | theorem | Chow's theorem
s_hironaka_resolution | theorem | Hironaka's resolution of singularities
s_serre_duality | theorem | Serre duality
s_grothendieck_riemann_roch | theorem | Grothendieck–Riemann–Roch
s_zariski_main_theorem | theorem | Zariski's main theorem
s_kodaira_vanishing_theorem | theorem | Kodaira vanishing theorem
s_lefschetz_hyperplane_theorem | theorem | Lefschetz hyperplane theorem
s_rank_nullity_theorem | theorem | Rank–nullity theorem
s_spectral_theorem_finite_dim | theorem | Spectral theorem (finite dim)
s_schur_decomposition | theorem | Schur decomposition
s_jordan_normal_form | theorem | Jordan normal form
s_singular_value_decomposition | theorem | Singular value decomposition
s_perron_frobenius_theorem | theorem | Perron–Frobenius theorem
s_gershgorin_circle_theorem | theorem | Gershgorin circle theorem
s_sylvester_law_of_inertia | theorem | Sylvester's law of inertia
s_gram_schmidt_process | theorem | Gram–Schmidt process
s_cramer_rule | theorem | Cramer's rule
s_cauchy_group_theorem | theorem | Cauchy's theorem (group theory)
s_jordan_holder_theorem | theorem | Jordan–Hölder theorem
s_krull_schmidt_theorem | theorem | Krull–Schmidt theorem
s_feit_thompson_theorem | theorem | Feit–Thompson theorem
s_schur_zassenhaus_theorem | theorem | Schur–Zassenhaus theorem
s_fg_abelian_structure_theorem | theorem | Structure theorem for finitely generated abelian groups
s_frattini_argument | theorem | Frattini's argument
s_jordan_finite_linear_theorem | theorem | Jordan's theorem on finite linear groups
s_burnside_paqb_theorem | theorem | Burnside's p^a q^b theorem
s_hnn_theorem | theorem | Higman–Neumann–Neumann theorem
s_maschke_theorem | theorem | Maschke's theorem
s_schur_lemma | theorem | Schur's lemma
s_wedderburn_finite_division_ring | theorem | Wedderburn's theorem (finite division rings)
s_artin_wedderburn_theorem | theorem | Artin–Wedderburn theorem
s_peter_weyl_theorem | theorem | Peter–Weyl theorem
s_frobenius_reciprocity | theorem | Frobenius reciprocity
s_heine_borel | theorem | Heine–Borel theorem
s_urysohn_lemma | theorem | Urysohn's lemma
s_normal_hausdorff_space | axiom | normal hausdorff space
s_tietze_extension | theorem | Tietze extension theorem
s_urysohn_metrization | theorem | Urysohn metrization theorem
s_second_countable_regular_hausdorff_space | axiom | second countable regular hausdorff space
s_alexandroff_compactification | theorem | Alexandroff compactification (one-point)
s_locally_compact_hausdorff_space | axiom | locally compact hausdorff space
s_borsuk_ulam | theorem | Borsuk–Ulam theorem
s_continuous_map_Sn_to_Rn | axiom | continuous map Sn to Rn
s_ham_sandwich | theorem | Ham sandwich theorem
s_n_measurable_bodies_in_Rn | axiom | n measurable bodies in Rn
s_jordan_curve_theorem | theorem | Jordan curve theorem
s_simple_closed_curve_in_plane | axiom | simple closed curve in plane
s_hairy_ball | theorem | Hairy ball theorem
s_continuous_tangent_vector_field | axiom | continuous tangent vector field
s_poincare_hopf | theorem | Poincaré–Hopf theorem
s_invariance_of_domain | theorem | Brouwer's invariance of domain
s_continuous_injection_between_Rn_opens | axiom | continuous injection between Rn opens
s_de_rham_theorem | theorem | de Rham's theorem
s_whitney_embedding | theorem | Whitney embedding theorem
s_nash_embedding | theorem | Nash embedding theorem
s_mostow_rigidity | theorem | Mostow rigidity theorem
s_closed_hyperbolic_manifold_dim_ge_3 | axiom | closed hyperbolic manifold dim ge 3
s_h_cobordism | theorem | Smale's h-cobordism theorem
s_simply_connected_manifold_dim_ge_5 | axiom | simply connected manifold dim ge 5
s_h_cobordism_between_manifolds | axiom | h cobordism between manifolds
s_freedman_theorem | theorem | Freedman's theorem
s_topological_4_manifold | axiom | topological 4 manifold
s_donaldson_theorem | theorem | Donaldson's theorem
s_smooth_4_manifold | axiom | smooth 4 manifold
s_alexander_duality | theorem | Alexander duality
s_subspace_of_Sn | axiom | subspace of Sn
s_poincare_duality | theorem | Poincaré duality
s_closed_oriented_n_manifold | axiom | closed oriented n manifold
s_hopf_rinow | theorem | Hopf–Rinow theorem
s_connected_riemannian_manifold | axiom | connected riemannian manifold
s_cartan_hadamard | theorem | Cartan–Hadamard theorem
s_complete_simply_connected_nonpositive_curvature_manifold | axiom | complete simply connected nonpositive curvature manifold
s_myers_theorem | theorem | Myers's theorem
s_ricci_curvature_positive_lower_bound | axiom | ricci curvature positive lower bound
s_hodge_theorem | theorem | Hodge theorem
s_compact_riemannian_manifold | axiom | compact riemannian manifold
s_chern_gauss_bonnet | theorem | Chern–Gauss–Bonnet theorem
s_uniformization_theorem | theorem | Uniformization theorem
s_simply_connected_riemann_surface | axiom | simply connected riemann surface
s_monotone_convergence_theorem | theorem | Monotone convergence theorem
s_fatou_lemma | theorem | Fatou's lemma
s_dominated_convergence_theorem | theorem | Dominated convergence theorem
s_fubini_theorem | theorem | Fubini's theorem
s_tonelli_theorem | theorem | Tonelli's theorem
s_radon_nikodym_theorem | theorem | Radon–Nikodym theorem
s_lebesgue_differentiation_theorem | theorem | Lebesgue differentiation theorem
s_vitali_covering_lemma | theorem | Vitali covering lemma
s_egorov_theorem | theorem | Egorov's theorem
s_lusin_theorem | theorem | Lusin's theorem
s_rademacher_theorem | theorem | Rademacher's theorem
s_sard_theorem | theorem | Sard's theorem
s_baire_category_theorem | theorem | Baire category theorem
s_arzela_ascoli_theorem | theorem | Arzelà–Ascoli theorem
s_picard_little_theorem | theorem | Picard's little theorem
s_picard_great_theorem | theorem | Picard's great theorem
s_casorati_weierstrass_theorem | theorem | Casorati–Weierstrass theorem
s_residue_theorem | theorem | Residue theorem
s_argument_principle | theorem | Argument principle
s_rouche_theorem | theorem | Rouché's theorem
s_morera_theorem | theorem | Morera's theorem
s_schwarz_lemma | theorem | Schwarz lemma
s_phragmen_lindelof_principle | theorem | Phragmén–Lindelöf principle
s_mittag_leffler_theorem | theorem | Mittag-Leffler theorem
s_weierstrass_factorization_theorem | theorem | Weierstrass factorization theorem
s_montel_theorem | theorem | Montel's theorem
s_hurwitz_theorem | theorem | Hurwitz's theorem
s_bloch_theorem | theorem | Bloch's theorem
s_gauss_lucas_theorem | theorem | Gauss–Lucas theorem
s_banach_steinhaus_theorem | theorem | Banach–Steinhaus theorem
s_open_mapping_theorem | theorem | Open mapping theorem
s_closed_graph_theorem | theorem | Closed graph theorem
s_banach_alaoglu_theorem | theorem | Banach–Alaoglu theorem
s_krein_milman_theorem | theorem | Kreĭn–Milman theorem
s_riesz_representation_theorems | theorem | Riesz representation theorems
s_spectral_theorem_self_adjoint | theorem | Spectral theorem for self-adjoint operators
s_gelfand_naimark_theorem | theorem | Gelfand–Naimark theorem
s_lax_milgram_lemma | theorem | Lax–Milgram lemma
s_sobolev_embedding_theorem | theorem | Sobolev embedding theorem
s_rellich_kondrachov_theorem | theorem | Rellich–Kondrachov theorem
s_stone_one_parameter_unitary_theorem | theorem | Stone's theorem on one-parameter unitary groups
s_riesz_fischer_theorem | theorem | Riesz–Fischer theorem
s_plancherel_theorem | theorem | Plancherel theorem
s_riesz_thorin_interpolation_theorem | theorem | Riesz–Thorin interpolation theorem
s_marcinkiewicz_interpolation_theorem | theorem | Marcinkiewicz interpolation theorem
s_carleson_theorem | theorem | Carleson's theorem
